epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.0844,1.05715,2.9413,1.52579,0.00394,1,0.33042,0.2516,0.585,3.54576,1.4048,5.001e-05,5.001e-05,5.001e-05
2,79.9703,0.55827,2.77019,1.22974,0.00373,1,0.56496,0.52588,0.30264,3.44447,0.97393,0.000112839,0.000112839,0.000112839
3,118.3,0.41869,2.55538,1.18376,0.00342,1,0.64969,0.64969,0.25877,3.37419,0.85199,0.000171268,0.000171268,0.000171268
4,156.189,0.33256,2.21718,1.1039,0.0034,1,0.63729,0.63729,0.22927,3.30097,0.82756,0.000225295,0.000225295,0.000225295
5,195.244,0.29993,1.94374,1.03416,0.00344,1,0.62945,0.61124,0.25268,3.24782,0.80194,0.000274922,0.000274922,0.000274922
6,232.65,0.2935,1.73677,1.02315,0.00342,1,0.65339,0.62079,0.40037,3.36592,0.9863,0.000320147,0.000320147,0.000320147
7,270.132,0.34875,1.61667,1.0262,0.00341,1,0.38145,0.36332,0.56639,3.51102,1.04803,0.000360972,0.000360972,0.000360972
8,307.622,0.30183,1.43026,1.00076,0.97555,0.16667,0.6022,0.6022,0.52512,3.12067,1.02861,0.000397396,0.000397396,0.000397396
9,345.695,0.30151,1.29074,0.98824,0.90732,0.5,0.7547,0.7547,0.26678,2.7864,0.83442,0.000429419,0.000429419,0.000429419
10,383.587,0.30674,1.16638,1.02064,0.92123,0.74231,0.88071,0.83267,0.3697,2.56914,0.98312,0.000457041,0.000457041,0.000457041
11,421.334,0.27365,1.07924,0.99721,0.47208,0.85392,0.71154,0.66672,0.36457,2.68123,0.99302,0.000480263,0.000480263,0.000480263
12,458.912,0.27777,1.06452,0.97039,0.48671,0.9,0.57095,0.53965,0.35466,2.64229,0.95224,0.000499083,0.000499083,0.000499083
13,500.96,0.23324,0.97674,0.95575,0.87508,0.6896,0.845,0.81148,0.35989,2.03125,0.90595,0.000513503,0.000513503,0.000513503
14,539.324,0.22657,0.91587,0.95129,0.73284,0.68086,0.81576,0.78547,0.48396,2.77345,1.051,0.000523521,0.000523521,0.000523521
15,576.869,0.25717,1.04866,0.94997,0.60211,0.6,0.70518,0.52892,0.69337,4.16277,1.20537,0.000529139,0.000529139,0.000529139
16,614.503,0.24833,0.92757,0.94438,0.72707,0.6,0.69369,0.50488,0.61598,4.25015,1.16324,0.000530356,0.000530356,0.000530356
17,652.318,0.29402,0.98197,1.00247,0.59504,0.6,0.58991,0.49834,0.45667,3.72388,1.04496,0.000527172,0.000527172,0.000527172
18,690.144,0.26396,0.94586,0.97069,0.49072,0.5,0.55537,0.53707,0.35259,3.17314,0.96643,0.000519587,0.000519587,0.000519587
19,727.868,0.26075,0.85877,0.98987,0.98175,0.5,0.58016,0.57122,0.30213,2.61817,0.88908,0.000507602,0.000507602,0.000507602
20,765.469,0.23291,0.86269,0.96715,0.38396,0.8,0.6296,0.62513,0.29526,2.29277,0.872,0.000491215,0.000491215,0.000491215
21,803.346,0.35433,1.98544,1.13436,0.80462,0.8,0.925,0.90868,0.27411,1.93985,0.82666,0.000470427,0.000470427,0.000470427
22,840.596,0.27957,1.81674,1.02945,0.95611,1,0.995,0.98101,0.28581,1.52817,0.81514,0.000445239,0.000445239,0.000445239
23,877.894,0.18482,1.32874,0.97852,0.95611,1,0.995,0.98101,0.28581,1.52817,0.81514,0.00041565,0.00041565,0.00041565
24,916.098,0.2012,1.29889,0.95347,0.9703,1,0.995,0.995,0.28421,1.42906,0.85787,0.00038166,0.00038166,0.00038166
25,953.544,0.1831,1.28992,0.95996,0.98194,1,0.995,0.995,0.28539,1.51952,0.85006,0.000343269,0.000343269,0.000343269
26,991.029,0.20755,1.29944,0.98607,0.98944,1,0.995,0.98101,0.27862,1.45437,0.83063,0.000291725,0.000291725,0.000291725
27,1028.4,0.21503,1.22835,0.93505,0.98931,1,0.995,0.98101,0.24992,1.30803,0.81022,0.000236714,0.000236714,0.000236714
28,1065.49,0.20106,1.19266,1.01145,0.98931,1,0.995,0.98101,0.24992,1.30803,0.81022,0.000181703,0.000181703,0.000181703
29,1107,0.17235,1.19551,0.93321,0.98837,1,0.995,0.995,0.23898,1.32776,0.79606,0.000126692,0.000126692,0.000126692
30,1144.73,0.18004,1.1417,0.91207,0.98904,1,0.995,0.995,0.23055,1.30433,0.77731,7.1681e-05,7.1681e-05,7.1681e-05
